eid,denominator,sampling,definition,measurement,sample_size,overall
2-s2.0-85212049380,NARROW,CURATED,VALIDATED,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85164694763,NARROW,CURATED,VALIDATED,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-105017599346,CLEAR,CURATED,VALIDATED,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85163186108,CLEAR,REPRESENTATIVE,PARTIAL,CONTENT_CODING,ADEQUATE,MODERATE
2-s2.0-85105477849,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-84923308381,NARROW,CURATED,ADHOC,BEHAVIOURAL,ADEQUATE,HIGH
2-s2.0-85187688869,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85141685239,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-105033848043,NARROW,CURATED,VALIDATED,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85059494932,NARROW,CURATED,PARTIAL,BEHAVIOURAL,ADEQUATE,HIGH
2-s2.0-85098086330,NARROW,CURATED,VALIDATED,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-105001286284,NARROW,CURATED,PARTIAL,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85168209968,UNCLEAR,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85139981135,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85209560212,CLEAR,REPRESENTATIVE,VALIDATED,BEHAVIOURAL,ADEQUATE,LOW
2-s2.0-85093701917,CLEAR,REPRESENTATIVE,VALIDATED,BEHAVIOURAL,ADEQUATE,LOW
2-s2.0-85081743293,CLEAR,REPRESENTATIVE,VALIDATED,BEHAVIOURAL,ADEQUATE,LOW
2-s2.0-105039619015,CLEAR,REPRESENTATIVE,VALIDATED,BEHAVIOURAL,ADEQUATE,LOW
2-s2.0-85188233043,NARROW,CURATED,VALIDATED,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85056602344,NARROW,CURATED,VALIDATED,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85060549676,CLEAR,REPRESENTATIVE,VALIDATED,BEHAVIOURAL,ADEQUATE,LOW
2-s2.0-85086031086,UNCLEAR,CONVENIENCE,ADHOC,SELF_REPORT,ADEQUATE,HIGH
2-s2.0-85106335639,NARROW,CONVENIENCE,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85086692143,NARROW,CURATED,VALIDATED,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85096862559,NARROW,CURATED,PARTIAL,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-105002683371,NARROW,CURATED,VALIDATED,BEHAVIOURAL,SMALL,HIGH
2-s2.0-85164339474,UNCLEAR,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85192732462,CLEAR,REPRESENTATIVE,VALIDATED,BEHAVIOURAL,ADEQUATE,LOW
2-s2.0-85091698994,NARROW,CURATED,VALIDATED,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85051467996,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85117475825,CLEAR,REPRESENTATIVE,VALIDATED,BEHAVIOURAL,ADEQUATE,LOW
2-s2.0-85070239449,NARROW,CURATED,PARTIAL,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85109181085,NARROW,CURATED,PARTIAL,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85076237931,NARROW,CURATED,ADHOC,BEHAVIOURAL,ADEQUATE,HIGH
2-s2.0-85111545521,CLEAR,REPRESENTATIVE,VALIDATED,BEHAVIOURAL,ADEQUATE,LOW
2-s2.0-85046071518,NARROW,CURATED,VALIDATED,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85175105353,NARROW,CURATED,VALIDATED,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85037352356,CLEAR,REPRESENTATIVE,VALIDATED,BEHAVIOURAL,ADEQUATE,LOW
2-s2.0-85188687142,NARROW,CURATED,VALIDATED,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85092354064,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85114719672,NARROW,CURATED,PARTIAL,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85096090608,NARROW,CURATED,PARTIAL,BEHAVIOURAL,SMALL,HIGH
2-s2.0-86000183980,NARROW,CURATED,VALIDATED,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85173661830,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85083063112,NARROW,CURATED,VALIDATED,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85078014559,NARROW,CURATED,VALIDATED,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85129092713,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-105011406180,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85218959905,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-105018016020,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-105005154685,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-105029581133,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85083103558,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-84936755035,CLEAR,CURATED,VALIDATED,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85131270595,CLEAR,REPRESENTATIVE,PARTIAL,CONTENT_CODING,ADEQUATE,MODERATE
2-s2.0-85134426953,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85184824168,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85205141299,UNCLEAR,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85178101068,CLEAR,REPRESENTATIVE,VALIDATED,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85197369320,UNCLEAR,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-105006846547,CLEAR,REPRESENTATIVE,VALIDATED,BEHAVIOURAL,ADEQUATE,LOW
2-s2.0-86000080679,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85147515236,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85088969117,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85131873827,CLEAR,CURATED,PARTIAL,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85102493378,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85145702361,UNCLEAR,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85132797380,UNCLEAR,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85189142904,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85170522441,UNCLEAR,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85199110625,CLEAR,REPRESENTATIVE,PARTIAL,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85130316440,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85095594211,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85129456715,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85104141161,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85203691949,UNCLEAR,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85145359941,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-105022108218,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85152674280,CLEAR,REPRESENTATIVE,VALIDATED,BEHAVIOURAL,ADEQUATE,LOW
2-s2.0-85132665364,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85092013677,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85209547248,CLEAR,REPRESENTATIVE,VALIDATED,BEHAVIOURAL,ADEQUATE,LOW
2-s2.0-85095575703,UNCLEAR,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-105016506408,UNCLEAR,CURATED,ADHOC,CONTENT_CODING,UNCLEAR,HIGH
2-s2.0-85186741013,NARROW,CURATED,VALIDATED,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85195339204,UNCLEAR,CURATED,VALIDATED,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85117399204,CLEAR,REPRESENTATIVE,ADHOC,SELF_REPORT,ADEQUATE,MODERATE
2-s2.0-85134791169,UNCLEAR,CURATED,PARTIAL,SELF_REPORT,UNCLEAR,HIGH
2-s2.0-85135254144,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85079874634,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85199752456,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85186333554,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85120898300,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85015279655,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85046831961,NARROW,CURATED,ADHOC,CONTENT_CODING,UNCLEAR,HIGH
2-s2.0-85054400923,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-105016715928,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-105040026420,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-105012175920,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85047304648,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-105038578898,UNCLEAR,CURATED,PARTIAL,SELF_REPORT,ADEQUATE,MODERATE
2-s2.0-85191357340,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85085573221,UNCLEAR,CONVENIENCE,ADHOC,SELF_REPORT,SMALL,HIGH
2-s2.0-85090430198,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-105014962937,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85194953420,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85056331134,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85199398341,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-105017882804,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85215259458,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85108273495,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85191403735,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85168257899,NARROW,CURATED,ADHOC,CONTENT_CODING,UNCLEAR,HIGH
2-s2.0-85147303661,NARROW,CURATED,VALIDATED,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85075384367,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-84929523850,CLEAR,REPRESENTATIVE,ADHOC,SELF_REPORT,ADEQUATE,MODERATE
2-s2.0-84869090226,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-27644475868,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85195375481,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-105034745484,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-105009619554,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
