item_id,construct,denominator_class,breadth,confidence_1to5,source
F645,EXPOSURE,all_media,unreliable_source,4,prior_round
F646,EXPOSURE,all_media,unreliable_source,4,prior_round
F647,EXPOSURE,all_media,unreliable_source,4,prior_round
F648,SHARING,political_news,unreliable_source,5,round3
F649,SHARING,political_news,unreliable_source,5,round3
F650,SHARING,political_news,unreliable_source,5,round3
F651,SHARING,political_news,unreliable_source,5,round3
F652,SHARING,political_news,unreliable_source,5,round3
F653,SHARING,political_news,unreliable_source,5,round3
F654,SHARING,political_news,unreliable_source,5,prior_round
F655,SHARING,political_news,unreliable_source,5,prior_round
F656,SHARING,political_news,unreliable_source,5,prior_round
F657,SHARING,political_news,unreliable_source,5,prior_round
F658,OTHER,all_media,unreliable_source,5,prior_round
F659,SHARING,political_news,unreliable_source,5,round3
F660,SHARING,political_news,unreliable_source,5,round3
F661,CONTENT,curated_sample,misleading,5,prior_round
F662,CONTENT,curated_sample,misleading,5,prior_round
F663,CONTENT,curated_sample,misleading,5,prior_round
F664,CONTENT,curated_sample,misleading,5,prior_round
F665,CONTENT,topical,false,5,round3
F666,CONTENT,topical,false,5,round3
F667,CONTENT,topical,false,5,round3
F668,CONTENT,topical,false,5,round3
F669,CONTENT,topical,false,5,round3
F670,CONTENT,topical,false,5,round3
F671,REACH,population,fabricated,4,round3
F672,REACH,population,fabricated,4,round3
F673,REACH,population,unreliable_source,5,prior_round
F674,SHARING,population,unreliable_source,4,round3
F675,CONTENT,topical,false,5,prior_round
F676,CONTENT,political_news,unreliable_source,4,prior_round
F677,CONTENT,political_news,unreliable_source,4,prior_round
F678,CONTENT,curated_sample,false,5,round3
F679,CONTENT,curated_sample,false,5,round3
