row_key,study_no,row_no,country,platform,period,measure,unit,group_label,our_value,our_construct,our_denominator,our_quote,your_verdict,your_value,your_share_of,your_quote,your_construct,your_note,study_extra
W4293124965#536,16,13,United States,Facebook,2017-2021,"Facebook-engagement share with repeatedly-false news outlets - US (SHARING, strict-definition variant)",url,,4.66,SHARING,,Table 3. Proportion of web traffic & Facebook engagement captured by news outlets repeatedly publishing false content. ... Facebook engagement 2017-2021 US 4.66%,CORRECT,,,,,,"Overall measures in the Abstract: 

EXPOSURE: 
- untrustworthy news outlets 2.3% of web traffic
- news publishing false content  1.4% of web traffic

SHARING: 
- untrustworthy news outlets 14.0% of Facebook engagement
- news publishing false content  6.8% of Facebook engagement

""Overall, untrustworthy news outlets
(as rated by NewsGuard) captured 2.3% of web traffic and 14.0% of
Facebook engagement, while news outlets regularly publishing false
content accounted for 1.4% of web traffic and 6.8% of Facebook
engagement. People largely turned to trustworthy news outlets during the
2020 coronavirus pandemic.""
"
W4293124965#537,16,14,United Kingdom,Facebook,2017-2021,"Facebook-engagement share with repeatedly-false news outlets - UK (SHARING, strict-definition variant)",url,,0.88,SHARING,,Table 3. Proportion of web traffic & Facebook engagement captured by news outlets repeatedly publishing false content. ... Facebook engagement 2017-2021 UK 0.88%,CORRECT,,,,,,"Overall measures in the Abstract: 

EXPOSURE: 
- untrustworthy news outlets 2.3% of web traffic
- news publishing false content  1.4% of web traffic

SHARING: 
- untrustworthy news outlets 14.0% of Facebook engagement
- news publishing false content  6.8% of Facebook engagement

""Overall, untrustworthy news outlets
(as rated by NewsGuard) captured 2.3% of web traffic and 14.0% of
Facebook engagement, while news outlets regularly publishing false
content accounted for 1.4% of web traffic and 6.8% of Facebook
engagement. People largely turned to trustworthy news outlets during the
2020 coronavirus pandemic.""
"
W4293124965#538,16,15,France,Facebook,2017-2021,"Facebook-engagement share with repeatedly-false news outlets - France (SHARING, strict-definition variant)",url,,13.35,SHARING,,Table 3. Proportion of web traffic & Facebook engagement captured by news outlets repeatedly publishing false content. ... Facebook engagement 2017-2021 France 13.35%,CORRECT,,,,,,"Overall measures in the Abstract: 

EXPOSURE: 
- untrustworthy news outlets 2.3% of web traffic
- news publishing false content  1.4% of web traffic

SHARING: 
- untrustworthy news outlets 14.0% of Facebook engagement
- news publishing false content  6.8% of Facebook engagement

""Overall, untrustworthy news outlets
(as rated by NewsGuard) captured 2.3% of web traffic and 14.0% of
Facebook engagement, while news outlets regularly publishing false
content accounted for 1.4% of web traffic and 6.8% of Facebook
engagement. People largely turned to trustworthy news outlets during the
2020 coronavirus pandemic.""
"
W4293124965#539,16,16,Germany,Facebook,2017-2021,"Facebook-engagement share with repeatedly-false news outlets - Germany (SHARING, strict-definition variant)",url,,8.05,SHARING,,Table 3. Proportion of web traffic & Facebook engagement captured by news outlets repeatedly publishing false content. ... Facebook engagement 2017-2021 Germany 8.05%,CORRECT,,,,,,"Overall measures in the Abstract: 

EXPOSURE: 
- untrustworthy news outlets 2.3% of web traffic
- news publishing false content  1.4% of web traffic

SHARING: 
- untrustworthy news outlets 14.0% of Facebook engagement
- news publishing false content  6.8% of Facebook engagement

""Overall, untrustworthy news outlets
(as rated by NewsGuard) captured 2.3% of web traffic and 14.0% of
Facebook engagement, while news outlets regularly publishing false
content accounted for 1.4% of web traffic and 6.8% of Facebook
engagement. People largely turned to trustworthy news outlets during the
2020 coronavirus pandemic.""
"
2-s2.0-85059494932#489,17,1,United States,Twitter/X,Jun-Nov 2016,% of news-link tweets directing to fake-only sites (content share),item,,10.0,SHARING,30.7M tweets containing a URL to a news outlet,"among the 30.7 million tweets containing an URL directing to a news outlet website, 10% point toward websites containing fake news or conspiracy theory and 15% point toward websites with extremely biased news",CORRECT,,,,,,"SHARING: 
(from Table 1): Only Fake news URL tweeting percentage: 5% 
denominator: users with tweets to a news outlet 

"
2-s2.0-85059494932#490,17,2,United States,Twitter/X,Jun-Nov 2016,% of distinct news-sharing users posting >=1 fake/biased link (user share),account,,12.0,REACH,~2.3M distinct users who tweeted a URL to a news outlet,the share going to fake news and extremely biased news is equal to 12% ... users posting fake and extremely biased news are around twice more active in average,WRONG DENOMINATOR OR CONSTRUCT,,,,SHARING,"To me this fits ""share of users who shared it"" + fake and extremely biased news is taken together ","SHARING: 
(from Table 1): Only Fake news URL tweeting percentage: 5% 
denominator: users with tweets to a news outlet 

"
2-s2.0-85121019757#402,18,1,United States,Facebook,Dec 2018,% of clicks to fake-news domains (representative Nielsen panel) (n=URLs),exposure,,2.5,EXPOSURE,"random sample of 1,000 URLs clicked from Facebook newsfeed by Nielsen desktop panelists, Dec 2018 (uncensored, representative)","we found that 2.5% of clicks were to fake news, 24% of clicks were to not-fake news, and 74% of clicks were to not-news sites",CORRECT,,,,,,
2-s2.0-85121019757#403,18,2,United States,Facebook,Jan 2017 - Dec 2018,% of clicks to fake-news domains (Facebook censored URLs dataset) (n=URLs),exposure,,12,EXPOSURE,"all US clicks in Facebook URLs dataset (URLs publicly shared 100+ times), Jan 2017-Dec 2018","From 1/2017-12/2018, an average of 12% of clicks per month went to fake news content, 32% went to not-fake news content, and 56% went to other, not-news content.",CORRECT,,,,,,
2-s2.0-85194023903#30,19,1,English-language,Twitter/X,Mar-Oct 2020,concentration of SHARING: % of low-credibility retweets originated by top [n] of spreading accounts,account,,81,CONCENTRATION,"retweets of low-credibility content in evaluation network, Mar-Oct 2020","Removing the top 1,000 superspreaders (0.25% of the accounts who posted during the evaluation period) eliminates 73-78% of the low-credibility content (optimal: 81%).",CORRECT,,,,,,
2-s2.0-85194023903#31,19,2,English-language,Twitter/X,Mar-Oct 2020,concentration of SHARING: % of low-credibility retweets originated by top [n] of spreading accounts,account,,38.1,CONCENTRATION,"retweets of low-credibility content in evaluation network, Mar-Oct 2020","removing the top 10 superspreaders eliminates 34.6% and 34.3% of the low-credibility content based on h-index and Influence, respectively (optimal: 38.1%). In other words, 0.003% of the accounts active during the evaluation period posted low-credibility content that received over 34% of all retweets",CORRECT,,,,,,
W7146985142#148,20,1,Germany,web_cross_platform,Jul-Dec 2017,share of untrustworthy news among all news visits (2017); n=#participants,exposure,,0.75,EXPOSURE,all news website visits 2017,the share of visits to untrustworthy news outlets among all news visits—in the raw data 0.75% in 2017 and 0.52% in 2024,CORRECT,,,,,,
W7146985142#149,20,2,Germany,web_cross_platform,Nov-Dec 2024,share of untrustworthy news among all news visits (2024); n=#participants,exposure,,0.52,EXPOSURE,all news website visits 2024,0.75% in 2017 and 0.52% in 2024,CORRECT,,,,,,
W7146985142#150,20,3,Germany,web_cross_platform,"6 months, Jul-Dec 2017",% who ever visited >=1 untrustworthy news site in tracking window (2017); n=#participants,person,,17,REACH,all participants 2017,"During the longer 2017 tracking window, 17% of participants visited at least one untrustworthy news site, compared to just 8% in the shorter 2024 period",CORRECT,,,,,,
W7146985142#151,20,4,Germany,web_cross_platform,"2 months, Nov-Dec 2024",% who ever visited >=1 untrustworthy news site in tracking window (2024); n=#participants,person,,9,REACH,all participants 2024,compared to just 8% in the shorter 2024 period,WRONG VALUE,8%,,,,,
W7146985142#543,20,5,Germany,web_cross_platform,"2017 (07/17-12/17, 6 months)",concentration: top-3 untrustworthy domains account for [n] of untrustworthy-news visits (2017),source,top 3 domains,49,CONCENTRATION,,"the top three domains classified as untrustworthy (NewsGuard score below 60), including rt.de (RT, formerly Russia Today), made up 49% of visits to untrustworthy news in our sample.",CORRECT,,,,,,
W7146985142#544,20,6,Germany,web_cross_platform,"2024 (11/24-12/24, 2 months)",concentration: top-3 untrustworthy domains account for [n] of untrustworthy-news visits (2024),source,top 3 domains,23,CONCENTRATION,,"in 2024 the top three most visited trustworthy domains account for 32% of visits to trustworthy news, while the leading untrustworthy sources—nius.de, reitschuster.de, and politikversagen.net—account for 23% of visits to untrustworthy news.",CORRECT,,,,,,
2-s2.0-105029413645#557,21,1,United States,web_cross_platform,2023,% of respondents exposed to >=1 low-credibility health URL on the open web (~[n]; REACH),,,13,REACH,,"Over the data collection period (approximately 4 weeks per respondent), about 13% saw any URLs from these domains (95% CI: 10-15%).",CORRECT,,,,,,
2-s2.0-105029413645#558,21,2,United States,YouTube,2023,% of respondents exposed to >=1 low-credibility health video on YouTube (~[n]; REACH),,,9,REACH,,"As with the open web, the overall level of exposure to low-credibility health content on YouTube is quite low, as shown in Table D.26. About 9% saw this sort of content (95% CI: 7-12%).",CORRECT,,,,,,
2-s2.0-105029413645#559,21,3,United States,web_cross_platform,2023,low-credibility visits as % of all health website visits (~[n]; EXPOSURE),,,3,EXPOSURE,,This means low-credibility visits are a small proportion of all health visits (roughly 3%).,CORRECT,,,,,,
2-s2.0-105029413645#560,21,4,United States,YouTube,2023,low-credibility views as % of all health views on YouTube (~[n]; EXPOSURE),,,10,EXPOSURE,,"As with website visits, this means low-credibility views are a small proportion of all health views on YouTube (roughly 10%).",CORRECT,,,,,,
2-s2.0-105029413645#561,21,5,United States,web_cross_platform,2023,concentration: top [n] of users account for [n] of total exposure,,,37,CONCENTRATION,,"Notably, the top 1% of users accounts for 37% of total exposure, and the top 10% accounts for 77% of total exposure (see Figure D.1).",CORRECT,,,,,,
2-s2.0-105029413645#562,21,6,United States,web_cross_platform,2023,concentration: top [n] of users account for [n] of total exposure,,,77,CONCENTRATION,,"Notably, the top 1% of users accounts for 37% of total exposure, and the top 10% accounts for 77% of total exposure (see Figure D.1).",CORRECT,,,,,,
2-s2.0-85194733750#284,22,1,United States,Twitter/X,Aug-Nov 2020,% of shared political news links that are fake-news (average day; observed sharing),url,,7.0,SHARING,"all political news links shared by panel of 664,391 registered US voters","On an average day, 7.0% [95% confidence interval (CI): 6.7%, 7.4%] of all political news shared by the panel of 664,391 individuals linked to fake news sources",CORRECT,,,,,,
2-s2.0-85194733750#285,22,2,United States,Twitter/X,Aug-Nov 2020,concentration of SHARING: top [n] of users = [n] of fake-news shares,person,,80,CONCENTRATION,"664,391 registered US voters in panel",an extremely small fraction of our sample (0.3%; only 2107 people) accounted for 80% of the tweets linking to fake news sources,CORRECT,,,,,,
NEW-berriche-fakerisland2026#671,23,1,France,Twitter/X,2018-2020,share of tweets containing a fact-checked-false/misleading URL,item,,0.05,SHARING,all 184M tweets in the French Twittersphere media-sharing corpus,"around 85K tweets (i.e., 0.05% of the initial 184M) containing at least one misinformation item",CORRECT,,,,,,
NEW-berriche-fakerisland2026#672,23,2,France,Twitter/X,2018-2020,% of accounts that shared >=1 misinformation URL,account,,0.9,REACH,all 3.7M accounts in the French Twittersphere,"around 31.5K accounts that had shared them (i.e., 0.9% of the initial 3.7 M)",WRONG DENOMINATOR OR CONSTRUCT,,,,SHARING,"fits definition of SHARING: ""share of users who shared it, from platform data""",
SEED-cordonnier2021#439,24,1,France,web_cross_platform,Sep-Oct 2020,unreliable_time_share_overall,exposure,,0.16,EXPOSURE,total connected time (all participants),"5% of connected time dedicated to information was spent consulting information sources considered to be unreliable, which equates to 0.16% of total connected time",CORRECT,,,,,,
SEED-cordonnier2021#440,24,2,France,web_cross_platform,Sep-Oct 2020,unreliable_news_share_overall,exposure,,5,EXPOSURE,time dedicated to information (all participants),"Among all participants, 5% of connected time dedicated to information was spent consulting information sources considered to be unreliable",CORRECT,,,,,,
SEED-cordonnier2021#623,24,3,France,web_cross_platform,Sep-Oct 2020,unreliable_reach_30d,reach,,39,REACH,all participants (30-day tracking window),39% of participants consulted information sources considered to be unreliable,CORRECT,,,,,,
2-s2.0-105039619015#186,25,1,United States,web_cross_platform,Aug 24 - Dec 7 2020,share of adults who visited >=1 misinformation website in a period (# participants),person,,39.1,REACH,"nationally representative YouGov web-tracking panel of US adults (N=1,238; ~21M visits)",the 39.1% (95% CI = 36.4-41.8%) of Americans who were exposed to misinformation websites,CORRECT,,,,,,
2-s2.0-105039619015#661,25,2,United States,web_cross_platform,Aug 24 - Dec 7 2020,% of US adults exposed to >=1 pink-slime site (overall),person,,3.7,REACH,"nationally representative YouGov web-tracking panel of US adults (N=1,238; ~21M visits)",the 39.1% (95% CI = 36.4-41.8%) of Americans who were exposed to misinformation websites,CORRECT,,,"We estimate that 3.7% (95% CI = 2.8-5.0%) — about 1 in 25 — of American adults were exposed to at least one pink slime website around the 2020 US Presidential Election (August 24 - December 7, 2020). ",,,
OA-W2992531903#314,26,1,France,web_cross_platform,,reach,person,,3.1,REACH,French online population,"The most popular, Sante+ Magazine...reached 3.1% (this equates to around 1.5 million people)",CORRECT,,,,,,"REACH: 
share of: Itlian or French online population
- 1.5% RT in France
- 1.4% Sputnik News in France 
""This was more than double that of well-known Russian outlets like Russia Today (1.5%) and Sputnik News (1.4%)""
- 0.6% Sputink News in Italy 
""The reach of the Italian edition of Sputnik News was also low, used by an average of 0.6% of the online population each month."""
OA-W2992531903#315,26,2,France,web_cross_platform,,reach,person,,1.0,REACH,French online population,"On average, most reached just 1% or fewer of the French online population each month in 2017",CORRECT,,,,,,"REACH: 
share of: Itlian or French online population
- 1.5% RT in France
- 1.4% Sputnik News in France 
""This was more than double that of well-known Russian outlets like Russia Today (1.5%) and Sputnik News (1.4%)""
- 0.6% Sputink News in Italy 
""The reach of the Italian edition of Sputnik News was also low, used by an average of 0.6% of the online population each month."""
OA-W2992531903#317,26,3,Italy,web_cross_platform,,reach,person,,3.1,REACH,Italian online population,the most widely-used false news website in our sample-Retenews24-reached 3.1% of the online Italian population (just over 1 million people) on average each month,CORRECT,,,,,,"REACH: 
share of: Itlian or French online population
- 1.5% RT in France
- 1.4% Sputnik News in France 
""This was more than double that of well-known Russian outlets like Russia Today (1.5%) and Sputnik News (1.4%)""
- 0.6% Sputink News in Italy 
""The reach of the Italian edition of Sputnik News was also low, used by an average of 0.6% of the online population each month."""
OA-W2992531903#318,26,4,Italy,web_cross_platform,,reach,person,,1.0,REACH,Italian online population,"As in France, most of the other sites were typically accessed by 1% or fewer",CORRECT,,,,,,"REACH: 
share of: Itlian or French online population
- 1.5% RT in France
- 1.4% Sputnik News in France 
""This was more than double that of well-known Russian outlets like Russia Today (1.5%) and Sputnik News (1.4%)""
- 0.6% Sputink News in Italy 
""The reach of the Italian edition of Sputnik News was also low, used by an average of 0.6% of the online population each month."""
2-s2.0-85152674280#190,27,1,United States,web_cross_platform,Oct 2 - Nov 9 2020,share of adults who visited >=1 untrustworthy website in a period (# participants),person,,26.2,REACH,"nationally representative YouGov Pulse panel of US adults (N=1,151; 7.5M visits)","during the 2020 election, only 26.2% (95% CI 22.5% to 29.8%) of Americans were exposed to at least one untrustworthy website",CORRECT,,,,,,
2-s2.0-85060549676#478,28,1,United States,Twitter/X,Aug-Dec 2016 (2016 election season),fake news share of political-news exposures,exposure,,5.0,EXPOSURE,"aggregate exposures to political URLs (all panel members, 2016 season)","When totaled across all panel members and the entire 2016 U.S. election season, 5.0% of aggregate exposures to political URLs were from fake news sources.",CORRECT,,,,,,"
SHARING: 6%
share of: people sharing political URLs
""Although 6% of people who shared URLs with political content shared content from fake news sources"""
2-s2.0-85060549676#479,28,2,United States,Twitter/X,Aug-Dec 2016 (2016 election season),fake news share of political-news shares,url,,6.7,SHARING,political URLs shared by the panel,"Similar trends were observed in content sharing, with 6.7% of political URLs shared by the panel coming from fake news sources.",CORRECT,,,,,,"
SHARING: 6%
share of: people sharing political URLs
""Although 6% of people who shared URLs with political content shared content from fake news sources"""
2-s2.0-85060549676#480,28,3,United States,Twitter/X,Aug-Dec 2016 (2016 election season),concentration of exposure,person,,80,CONCENTRATION,panel members (registered US voters on Twitter),1% of panel members consumed 80.0% of the volume from fake news sources.,CORRECT,,,,,,"
SHARING: 6%
share of: people sharing political URLs
""Although 6% of people who shared URLs with political content shared content from fake news sources"""
2-s2.0-85060549676#481,28,4,United States,Twitter/X,Aug-Dec 2016 (2016 election season),concentration of sharing,person,,79.8,CONCENTRATION,panel members (registered US voters on Twitter),A mere 0.1% of the panel accounted for 79.8% of shares from fake news sources.,CORRECT,,,,,,"
SHARING: 6%
share of: people sharing political URLs
""Although 6% of people who shared URLs with political content shared content from fake news sources"""
2-s2.0-85060549676#520,28,5,United States,Twitter/X,2016-08-01/2016-12-06,average fake-news share of political-news exposures per individual feed ([n]),exposure,,1.18,EXPOSURE,,The average proportion of fake news sources (among political URLs) in an individual's feed was 1.18% (95% CI: 1.12 to 1.24%).,CORRECT,,,,,,"
SHARING: 6%
share of: people sharing political URLs
""Although 6% of people who shared URLs with political content shared content from fake news sources"""
2-s2.0-85060549676#527,28,6,United States,Twitter/X,,concentration: top [n] of sources account for >[n] of exposures within each fake-news category,source,5 (of sources),50,CONCENTRATION,,"Within each category of fake news, 5% of sources accounted for more than 50% of exposures ... The top seven fake news sources ... accounted for more than 50% of fake news exposures",CORRECT,,,,,,"
SHARING: 6%
share of: people sharing political URLs
""Although 6% of people who shared URLs with political content shared content from fake news sources"""
2-s2.0-85145956359#58,29,1,United States,Twitter/X,Apr-Nov 2016 (~7 months),% respondents potentially exposed to >=1 foreign-influence post in period (reach; n=[n] respondents),person,,70,REACH,"1,496 survey-linked US Twitter respondents",We find that 70% (n = 1042) of respondents were exposed to one or more posts from a foreign influence campaign between April and November 2016,CORRECT,,,,,,
2-s2.0-85145956359#59,29,2,United States,Twitter/X,Apr-Nov 2016,concentration of EXPOSURE (audience-level): top [n] of respondents = [n] of exposures,person,,70,CONCENTRATION,"1,496 survey-linked US Twitter respondents exposed to Russian IRA posts",only 1% of users accounted for 70% of exposures,CORRECT,,,,,,
2-s2.0-85145956359#529,29,3,United States,Twitter/X,,concentration: top [n] of respondents account for [n] of exposures,person,,98,CONCENTRATION,,"almost all exposure is concentrated among only 10% of respondents, who account for 98% of exposures",CORRECT,,,,,,
2-s2.0-105002155467#463,30,1,United States,web_cross_platform,Jan-Dec 2018 (12-month window),"REACH: % of panelists who visited >=1 unreliable page over 12 months (misinfo-direction, complement of the [n] who visited none); n = participants",person,,21.0,REACH,"N~140,000 US web-browsing Nielsen panelists (weighted), Jan-Dec 2018","the vast majority, that is ~79%, do not visit any page classified as unreliable",CORRECT,,,,,,
2-s2.0-105002155467#464,30,2,United States,web_cross_platform,Jan-Dec 2018,CONCENTRATION of EXPOSURE: top [n] of panelists account for [n] of all unreliable pageviews; n = participants,person,,65.3,CONCENTRATION,all unreliable pages visited by the panel (Jan-Dec 2018),This 1% of the panelists are responsible for visiting 65.3% of all unreliable pages in our data,CORRECT,,,,,,
2-s2.0-85136023139#4,31,1,United States,Twitter/X,Oct 2020 - Jan 2021 (Abilov corpus 23 Oct 2020 - 5 Jan 2021),observed engagement: % of active voter-file-matched Georgia Twitter users who liked/retweeted >=1 fraud-promoting tweet (users n=[n]),person,,7.6,REACH,"Georgia Twitter users matched to the voter file (Grinberg/Hughes name-match), active both before and after the 2020 election","Of the 7,324 Georgia Twitter users in the panel who were active both before and after the 2020 election, 558 liked or retweeted fraud-related content by promoters of conspiracy theories",CORRECT,,,,,,
2-s2.0-85148963619#99,32,1,English-language,Twitter/X,2021 (Jan 4-Dec 31),"% of content items low-credibility (share of vaccine tweets+retweets, # tweets)",item,,1.31,SHARING,"all vaccine-related tweets+retweets (~294M, English-language collection)",Daily percentage of vaccine tweets and retweets that share links to low-credibility news sources (median: 1.31%) and mainstream news sources (median: 7.53%),CORRECT,,,,,,"CONCENTRATION: 13% 
share of: reshares of low credibility news
""with the top superspreader (@RobertKennedyJr) responsible for over 13% of retweets.""

SHARING: 
share of: all 300 million tweets
- 1.5% are tweets with links to low-credibility news sources 
""Nevertheless, the total fraction of tweets sharing low-credibility news about vaccines accounted for only 1.5% compared to approximately 7.8% of tweets that linked to mainstream sources (see Figure 4C)."""
2-s2.0-85148963619#100,32,2,English-language,Twitter/X,2021,concentration of SHARING (top ~800 superspreader accounts -> share of misinfo reshares; user-level),account,"~800 verified 'superspreader' accounts (~5.6% of low-cred posters; status-defined, not a volume percentile)",35,CONCENTRATION,all reshares of low-credibility misinformation on an average day in 2021,Tweets by a small group of approximately 800 “superspreaders” verified by Twitter accounted for approximately 35% of all reshares of misinformation on an average day,CORRECT,,,,,,"CONCENTRATION: 13% 
share of: reshares of low credibility news
""with the top superspreader (@RobertKennedyJr) responsible for over 13% of retweets.""

SHARING: 
share of: all 300 million tweets
- 1.5% are tweets with links to low-credibility news sources 
""Nevertheless, the total fraction of tweets sharing low-credibility news about vaccines accounted for only 1.5% compared to approximately 7.8% of tweets that linked to mainstream sources (see Figure 4C)."""
2-s2.0-85148963619#530,32,3,English-language,Twitter/X,,concentration: aggregate top low-credibility sources account for ~[n] of low-cred vaccine tweets,source,top-20 low-credibility sources (rank-truncated; source-count denominator unreported),61,CONCENTRATION,,"CHD accounted for approximately 18% of all tweets linking to low-credibility sources, whereas the aggregated 20 most shared sources generated approximately 61%",CORRECT,,sources talking about CHD vaccines,,,,"CONCENTRATION: 13% 
share of: reshares of low credibility news
""with the top superspreader (@RobertKennedyJr) responsible for over 13% of retweets.""

SHARING: 
share of: all 300 million tweets
- 1.5% are tweets with links to low-credibility news sources 
""Nevertheless, the total fraction of tweets sharing low-credibility news about vaccines accounted for only 1.5% compared to approximately 7.8% of tweets that linked to mainstream sources (see Figure 4C)."""
2-s2.0-85162702221#244,33,1,United States,Facebook,cumulative page-likes up to Dec 2016-Jan 2017,"% of users who liked >=1 fake-news page (reach; digital trace, n=806 users)",person,,18.4,REACH,"806 American Facebook users (MTurk convenience sample, non-representative)","Among our 806 subjects, 18.36% (n = 148) liked at least one Facebook page for a fake news source",CORRECT,,,,,,
2-s2.0-105019603181#470,34,1,United States,web_cross_platform,Aug 24 - Dec 7 2020 (period reach),REACH: % of nationally-representative participants who visited >=1 misinfo article (broadest topic available: US Electoral Politics) during the period; n = participants + content,person,,12.7,REACH,1240 nationally representative US adults (YouGov Pulse passive web-browsing panel; 21M URL visits),"the most consumed type of misinformation articles was about U.S. Electoral Politics, with 12.7% (95% CI [10.9, 14.7]) of participants being exposed to at least one such article.",CORRECT,,,,,,
2-s2.0-105019603181#501,34,2,United States,web_cross_platform,Aug 24 - Dec 7 2020 (period reach),REACH: % exposed >=1 social issues misinfo article,person,,10.9,REACH,1240 nationally representative US adults (YouGov Pulse passive web-browsing panel; 21M URL visits),"The next topic with the highest level of exposure was misinformation about social issues with 10.9% (95% CI [9.3, 12.8]) of participants exposed.",CORRECT,,,,,,
2-s2.0-105019603181#502,34,3,United States,web_cross_platform,Aug 24 - Dec 7 2020 (period reach),REACH: % exposed >=1 COVID-19 misinfo article,person,,6.7,REACH,1240 nationally representative US adults (YouGov Pulse passive web-browsing panel; 21M URL visits),"The least exposed types were COVID-19 (6.7% exposed, 95% CI [5.4, 8.3])...",CORRECT,,,,,,
2-s2.0-105019603181#503,34,4,United States,web_cross_platform,Aug 24 - Dec 7 2020 (period reach),REACH: % exposed >=1 Health misinfo article,person,,4.3,REACH,1240 nationally representative US adults (YouGov Pulse passive web-browsing panel; 21M URL visits),"...and Health (4.3% exposed, 95% CI [3.3, 5.6]).",CORRECT,,,,,,
W3033912864#145,35,1,Multi-country,Twitter/X,"Jan 29 - Mar 4, 2020",% of EN source users who posted >=1 fake-news URL (# users),account,,1.60,REACH,"all English-speaking source users in COVID-keyword corpus (2,089,892)","total 33,514 ... 2,089,892 ... 1.60%",CORRECT,,,,,,
W3033912864#146,35,2,Multi-country,Twitter/X,"Jan 29 - Mar 4, 2020",% of EN retweeters who retweeted >=1 fake-news URL (# users),account,,2.50,REACH,"all English-speaking retweeters in COVID-keyword corpus (4,186,548)","total 104,811 ... 4,186,548 ... 2.50%",WRONG DENOMINATOR OR CONSTRUCT,,,,SHARING,,
2-s2.0-85209206311#382,36,1,United States,web_cross_platform,Aug-Sep 2021,"EXPOSURE diet-share: median low-quality-news visits per [n],000 total requests, multi-local-paper counties (>=2 papers)",exposure,,0.1461,EXPOSURE,all browser requests in the county (per million); counties with two or more local papers,locations with two or more local papers (median=1461),CORRECT,,,,,1461/1000000,"EXPOSURE: 
consumption of low-quality news in news deserts: 0.0721%
""In fact, news deserts appear to view less low-quality information
per million requests (median=721) than locations with two or more local papers (median=1461).""
share of: browser requests in the county

EXPOSURE: 
consumption of low-quality news in single paper locations: 0.1302%
""Further, the amount of low-quality information viewed in
locations with a single paper and locations with multiple papers are similar (median=1302 vs. median=1461).""
share of: browser requests in the county"
2-s2.0-85037352356#328,37,1,United States,web_cross_platform,18 Jul - 8 Nov 2016 (avg per day),REACH: avg daily % of users visiting >=1 fake-news domain; n=>10^8 browser machines,person,,0.34,REACH,IE11/Edge desktop browser users (combined install base >10^8 machines),"visits to fake news websites were relatively rare—on an average day during the election campaign period, only 0.34% of users visited any of the fake news domains that we monitored (i.e., about 1 in every 290 users)",CORRECT,,,,,,
W4407878374#116,38,1,Norway,Twitter/X,Jan 2020 - Dec 2022,concentration of SHARING (top [n] of users),account,,75,CONCENTRATION,users posting misinformation tweets,25% of the most active users contribute to approximately 75% of the misinformation content,CORRECT,,,,,,"CONTENT: 
- 5.11% 
share of: analyzed tweets via keywords

""The resulting dataset consists of 426,262 Norwegian-language
COVID-19-related tweets, out of which approximately 5.11% is predicted to contain misinformation at a confidence threshold of 98%."""
2-s2.0-85195353413#380,39,1,United States,Twitter/X,December 2020,concentration of SHARING: top [n] deplatformed users' share of all misinfo URLs (content-N at panel scale; n=[n] users),url,"deplatformed users (0.23% of panel; selection-defined by moderation, not a volume percentile)",24.13,CONCENTRATION,all misinformation URLs shared in panel (December 2020),These deplatformed users accounted for 4.35% of all URL sharing and 24.13% of all misinformation URLs shared among our sample during December 2020,CORRECT,,,,,,
2-s2.0-85195353413#381,39,2,United States,Twitter/X,2 Sep 2020 - 29 Jan 2021,share of users who shared >=1 misinfo URL (observed SHARING; n=[n] users),person,,7.46,REACH,full voter-file-matched active Twitter panel (2020 election cycle),"A total of 44,743 users (7.46% of the full panel) were misinformation sharers (users who shared at least one misinformation URL during the 2020 election cycle)",WRONG DENOMINATOR OR CONSTRUCT,,,,SHARING,,
2-s2.0-85159153364#277,40,1,Global,Twitter/X,Jan-Apr 2022,concentration of SHARING (top-15 spreader accounts' share of retweets),account,top-15 Twitter accounts (rank-truncated; mostly verified),68,CONCENTRATION,all retweets linking to Russian propaganda websites on Twitter,generate over 68% of all retweets linking to these [Russian propaganda] websites,CORRECT,,,,,,"CONTENT: 
- 0.4% low-credibility news 
- 0.25% Russian Propaganda
share of: analyzed posts over a certain time period through keywords search
""On Facebook, we identified 51,269 posts (0.25% of all posts)
sharing links to Russian propaganda outlets, generating 5,065,983
interactions (0.17% of all interactions); 80,066 posts (0.4% of all
posts) sharing links to low-credibility news websites, generating
28,334,900 interactions (0.95% of all interactions); and 147,841 posts
sharing links to high-credibility news websites (0.73% of all posts),
generating 63,837,701 interactions (2.13% of all interactions)."""
2-s2.0-85159153364#278,40,2,Global,Facebook,Jan-Apr 2022,concentration of SHARING (top-15 accounts' share of interactions),account,top-15 Facebook accounts/pages (rank-truncated),80,CONCENTRATION,all interactions around Russian-propaganda + low-credibility links on Facebook,they generate over 80% of all interactions around links to Russian propaganda and low-credibility information websites,CORRECT,,,,,,"CONTENT: 
- 0.4% low-credibility news 
- 0.25% Russian Propaganda
share of: analyzed posts over a certain time period through keywords search
""On Facebook, we identified 51,269 posts (0.25% of all posts)
sharing links to Russian propaganda outlets, generating 5,065,983
interactions (0.17% of all interactions); 80,066 posts (0.4% of all
posts) sharing links to low-credibility news websites, generating
28,334,900 interactions (0.95% of all interactions); and 147,841 posts
sharing links to high-credibility news websites (0.73% of all posts),
generating 63,837,701 interactions (2.13% of all interactions)."""
